Año,Índice de Estacionalidad,Duración Máxima de Sequías (días)
2006,8.98,111
2007,4.56,105
2008,5.64,107
2009,6.39,122
2010,3.16,105
2011,5.78,109
2012,5.08,118
2013,5.78,103
2014,5.61,104
2015,3.24,89
2016,6.87,102
2017,5.88,114
2018,6.46,115
2019,8.32,100
2020,6.09,136
2021,3.13,98
2022,9.31,120
2023,3.66,148
2024,5.01,131
2025,4.4,120
2026,5.72,116
2027,8.5,106
2028,3.26,91
2029,4.83,121
2030,6.95,121
2031,5.1,91
2032,6.48,117
2033,6.42,131
2034,3.94,131
2035,4.29,114
2036,5.96,120
2037,6.52,103
2038,5.07,116
2039,7.33,120
2040,5.34,99
2041,4.02,129
2042,5.63,130
2043,5.6,126
2044,4.19,98
2045,4.62,116
2046,6.3,114
2047,5.11,114
2048,5.08,115
2049,7.37,100
2050,5.2,125
2051,3.82,129
2052,5.1,134
2053,6.12,109
2054,6.22,136
2055,4.87,134
2056,6.94,110
2057,5.99,141
2058,4.53,135
2059,3.44,115
2060,4.09,109
2061,4.13,137
2062,4.57,135
2063,6.72,133
2064,4.17,126
2065,6.06,165
2066,6.35,129
2067,8.25,137
2068,5.34,128
2069,4.19,148
2070,5.82,139
2071,6.16,120
2072,2.96,129
2073,4.94,128
2074,5.3,142
2075,5.39,142
2076,3.47,150
2077,4.8,135
2078,6.43,135
2079,3.11,168
2080,5.77,139
2081,7.82,134
2082,4.77,147
2083,7.45,130
2084,4.43,124
2085,4.64,122
2086,3.69,132
2087,4.97,144
2088,3.76,146
2089,7.53,162
2090,5.13,123
2091,4.46,118
2092,8.81,148
2093,5.15,145
2094,5.97,189
2095,5.87,110
2096,2.55,124
2097,3.12,148
2098,3.42,131
2099,5.35,137
2100,6.29,125
